date,ticker,marketcap
2024-02-28,GHM,257.3
2024-02-27,GHM,253.9
2024-02-26,GHM,259.6
2024-02-23,GHM,258.7
2024-02-22,GHM,246.7
2024-02-21,GHM,250.1
2024-02-20,GHM,257.8
2024-02-16,GHM,261.2
2024-02-15,GHM,262.0
2024-02-14,GHM,268.2
2024-02-13,GHM,243.1
2024-02-12,GHM,247.5
2024-02-09,GHM,248.3
2024-02-08,GHM,248.4
2024-02-07,GHM,235.6
2024-02-06,GHM,239.3
2024-02-05,GHM,237.8
2024-02-02,GHM,211.7
2024-02-01,GHM,206.1
2024-01-31,GHM,208.3
2024-01-30,GHM,212.2
2024-01-29,GHM,213.3
2024-01-26,GHM,218.8
2024-01-25,GHM,211.9
2024-01-24,GHM,209.3
2024-01-23,GHM,214.2
2024-01-22,GHM,211.1
2024-01-19,GHM,208.7
2024-01-18,GHM,206.6
2024-01-17,GHM,218.0
2024-01-16,GHM,213.1
2024-01-12,GHM,208.7
2024-01-11,GHM,203.0
2024-01-10,GHM,203.4
2024-01-09,GHM,199.4
2024-01-08,GHM,201.2
2024-01-05,GHM,207.6
2024-01-04,GHM,205.9
2024-01-03,GHM,201.9
2024-01-02,GHM,206.2
2023-12-29,GHM,203.0
2023-12-28,GHM,208.3
2023-12-27,GHM,210.5
2023-12-26,GHM,205.4
2023-12-22,GHM,203.6
2023-12-21,GHM,197.7
2023-12-20,GHM,197.3
2023-12-19,GHM,202.3
2023-12-18,GHM,192.3
2023-12-15,GHM,188.4
2023-12-14,GHM,191.0
2023-12-13,GHM,191.6
2023-12-12,GHM,191.6
2023-12-11,GHM,192.5
2023-12-08,GHM,192.3
2023-12-07,GHM,187.9
2023-12-06,GHM,193.2
2023-12-05,GHM,199.6
2023-12-04,GHM,202.8
2023-12-01,GHM,201.5
2023-11-30,GHM,198.3
2023-11-29,GHM,200.7
2023-11-28,GHM,199.8
2023-11-27,GHM,200.4
2023-11-24,GHM,208.0
2023-11-22,GHM,202.0
2023-11-21,GHM,196.7
2023-11-20,GHM,193.4
2023-11-17,GHM,188.4
2023-11-16,GHM,188.6
2023-11-15,GHM,192.4
2023-11-14,GHM,180.3
